model_name,model_uid,training_time,training_date,f1_score_avg,auc_roc,gini,data_configurations,accuracy,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
vanilla-vanilla_XGBClassifier-fold_4,0c8cece672122af336c13a092d9c4806,1.105984,2024-08-15 12:42:56.456359,0.5389703778280568,0.616119358414784,0.2322387168295681,vanilla,0.6175487513421772,0.8442643886933817,0.6418992544962185,0.7293041842106877,92689.0,0.2625966408957611,0.5185347663961395,0.348636571445426,22795.0,0.5534305147945714,0.580217010446179,0.5389703778280568,115484.0,0.7294509399814669,0.6175487513421772,0.6541654789962498,115484.0
vanilla-vanilla_XGBClassifier-fold_1,7fbe64f6732fd6bd993e9cf2692b6b90,1.210205,2024-08-15 12:42:52.293107,0.5338818239136383,0.6172680028628416,0.23453600572568312,vanilla,0.606182621119626,0.8457065862124519,0.6229865464078801,0.7174593708066199,92689.0,0.25973393212727197,0.5378575188629584,0.35030427702065653,22796.0,0.5527202591698619,0.5804220326354192,0.5338818239136383,115485.0,0.730039333993326,0.606182621119626,0.6449853047552295,115485.0
vanilla-vanilla_XGBClassifier-fold_2,29f28fb76e20e0a6c16ea10b8b247212,1.207557,2024-08-15 12:42:53.709505,0.5321423640061417,0.6156412983510466,0.23128259670209328,vanilla,0.6026063990994501,0.8460525926583252,0.617171401137136,0.7137109099642552,92689.0,0.2587579118881995,0.5433848043516406,0.35057381804802806,22796.0,0.5524052522732623,0.5802781027443883,0.5321423640061417,115485.0,0.7301243808313712,0.6026063990994501,0.6420299717703573,115485.0
vanilla-vanilla_XGBClassifier-fold_5,a8064182c29250061456c3887bea27bc,1.134672,2024-08-15 12:42:57.752791,0.5317142952458715,0.612947892403059,0.22589578480611805,vanilla,0.6045859166637803,0.8439964301912188,0.62238237547066,0.7164431197218083,92689.0,0.2573992743937369,0.532221978504058,0.3469854707699348,22795.0,0.5506978522924779,0.577302176987359,0.5317142952458715,115484.0,0.7282099821429732,0.6045859166637803,0.6435171117219299,115484.0
vanilla-vanilla_XGBClassifier-fold_3,a926732d4e235d899c7b317a846baeba,1.14112,2024-08-15 12:42:55.123747,0.5285018667188025,0.6141777824550765,0.22835556491015296,vanilla,0.5972290773693554,0.8451717075066904,0.6098997723570219,0.7085150649220434,92689.0,0.2559776122474176,0.545709773644499,0.34848866851556154,22796.0,0.550574659877054,0.5778047730007605,0.5285018667188025,115485.0,0.728868563414121,0.5972290773693554,0.6374481581161192,115485.0
vanilla-vanilla_LogisticRegression-fold_4,029d06903d7e5a99bac03aa4a451a3ad,0.319055,2024-08-15 12:42:51.487184,0.49598672380270714,0.6033897656670162,0.20677953133403237,vanilla,0.5369228637733365,0.8519396126160088,0.5120240805273549,0.6396264050243942,92689.0,0.24335446743730865,0.6381662645316956,0.3523470425810202,22795.0,0.5476470400266588,0.5750951725295252,0.49598672380270714,115484.0,0.7318130289823584,0.5369228637733365,0.5829212937804408,115484.0
vanilla-vanilla_LogisticRegression-fold_2,b955eab570f64b54d720a6e45c7123f5,0.303404,2024-08-15 12:42:50.679282,0.4942906080964554,0.6026768089794858,0.20535361795897167,vanilla,0.534814045114084,0.8511363021969109,0.5095210866445856,0.6374446604038441,92689.0,0.24227474249141637,0.6376557290752763,0.35113655578906683,22796.0,0.5467055223441637,0.5735884078599309,0.4942906080964554,115485.0,0.7309509264767182,0.534814045114084,0.5809292726669218,115485.0
vanilla-vanilla_LogisticRegression-fold_1,e63ae0dfc7b802fda2e8097728ffc75f,0.295876,2024-08-15 12:42:50.306611,0.4941974727255424,0.6063940609052594,0.21278812181051876,vanilla,0.5337229943282678,0.8525935474500264,0.5066404859260538,0.6355909263169293,92689.0,0.2429725523954574,0.6438410247411827,0.35280401913415543,22796.0,0.5477830499227418,0.5752407553336183,0.4941974727255424,115485.0,0.7322582640516286,0.5337229943282678,0.5797706004205919,115485.0
vanilla-vanilla_LogisticRegression-fold_5,e901609a5967055b316b6f188a239814,0.268653,2024-08-15 12:42:51.888572,0.49327285085531186,0.6028859865825842,0.20577197316516838,vanilla,0.5326019188805375,0.852132149614321,0.5053458339177249,0.6344433382772235,92689.0,0.24236565536387072,0.6434305768808949,0.3521023634334002,22795.0,0.5472489024890959,0.5743882053993099,0.49327285085531186,115484.0,0.7317723834437777,0.5326019188805377,0.5787129988227108,115484.0
vanilla-vanilla_LogisticRegression-fold_3,1a0700d2198e471f308cd45e966e51b4,0.362109,2024-08-15 12:42:51.054398,0.4929038063229184,0.6017731243475828,0.20354624869516558,vanilla,0.5331861280685803,0.8503387839913271,0.5077409401331334,0.6358269046300175,92689.0,0.24132025274359828,0.6366467801368662,0.34998070801581943,22796.0,0.5458295183674627,0.5721938601349998,0.4929038063229184,115485.0,0.7301224230931739,0.5331861280685803,0.5794026945766143,115485.0
